;nakoplenia_ludei.xls;rashodi_na_med.xls;chislo_ubistv.xls;inflazia.xls;nalogi.xls;procent_tryd_naselenia.xls;trati_na_obraz.xls;rogdaemost.xls;voennie_trati.xls;bezrabotiza.xls;vvp_pps_na_dyshy.xls;patenti.csv;Happiness.Score
Saudi Arabia;30.371457675264114;6.26256323;;-0.838194579675057;15.7;40.88336141472706;8.01642990112305;18.903;10.223848450964999;;45795.51353040304;909.0;6.3439998626709
Senegal;22.54339557565634;3.99707484;;1.31815314847782;45.1;84.99804967066528;4.62496995925903;34.224;1.4710630000698801;;3259.192579873664;;4.53499984741211
Serbia;15.536201368418753;8.22039318;1.06459811477795;3.13106248590119;36.7;51.673912423556615;3.71016001701355;9.2;1.8375075266195602;0.872380018234253;16611.04793171899;171.0;5.39499998092651
Sierra Leone;-1.3374976917926789;9.39976025;;18.2215094003386;30.7;78.99392626468543;4.66096019744873;33.568;1.0938168966116;;1593.48352865022;;4.70900011062622
Singapore;45.48999595396785;4.36418819;0.192710565199065;0.576260310166371;20.3;29.314257498425693;2.76826000213623;8.9;2.98418209999129;1.89872002601624;95310.33385802056;1609.0;6.57200002670288
Slovakia;;;;;;;;;;;;;6.09800004959106
Slovenia;26.47405671209245;8.18522835;0.915047474107768;1.42910743319297;31.0;51.0796952945245;4.78053998947144;9.8;0.981831088695765;1.86530005931854;36507.553041653104;;5.75799989700317
Somalia;;;;;;100.83635526912602;0.127174034714699;45.457;;;1059.1439322551284;;5.15100002288818
South Africa;14.24370659905724;8.72262383;35.6710907227081;5.18424664766131;28.9;52.26129954881993;5.59867000579834;20.643;1.03006055246802;0.762570023536682;13950.453476076615;728.0;4.8289999961853
South Korea;;;;;;;;;;;;;5.83799982070923
South Sudan;;8.23701382;;187.851630279442;31.4;94.69753653835194;;32.651;2.35453775832203;;;;3.59100008010864
Spain;22.176032838985357;8.9569416;0.658128503341824;1.95607633363964;46.9;51.69119705538318;4.20777988433838;8.4;1.23069077613875;1.21042001247406;39528.92538726679;2167.0;6.40299987792969
Sri Lanka;37.285647180375065;3.59565234;2.30026200268194;7.70413767850603;55.2;52.006544418743;2.79924988746643;15.17;2.11969664088295;0.127580001950264;13584.193107511244;277.0;4.44000005722046
Sudan;36.16731492643901;6.05546141;;32.3516260968437;45.4;80.3057232016279;;35.669;3.5071660868727497;;4613.9501953125;281.0;4.13899993896484
Sweden;28.51250056501907;10.78509998;1.14085005444278;1.79449904665596;49.1;59.81504880718271;7.56883001327515;11.5;1.023179204574;3.36279010772705;51947.95424782436;1992.0;7.28399991989136
Switzerland;33.16702206057729;11.48099899;0.532179284814903;0.533787839825886;28.8;49.50178982784858;4.9515700340271;10.3;0.656917773004311;3.03413009643555;69103.57026469595;1337.0;7.49399995803833
Syria;;;;;;;;;;;;;3.46199989318848
Taiwan Province of China;;;;;;;;;;;;;6.42199993133545
Tajikistan;30.51052347348864;7.2288146;;;66.3;65.64434085503085;5.83796977996826;28.932;1.09390601214542;0.109569996595383;3236.4393435030174;;5.04099988937378
Tanzania;30.5358401430509;4.08257437;;5.31871605228923;44.1;91.13537548379979;4.4305100440979;38.058;1.05579628235399;;2458.3427734375;;3.34899997711182
Thailand;31.942466696532755;3.84309888;;0.66563189313507;28.7;40.58217327626517;3.46532154083252;9.98;1.38995441916021;1.00165998935699;17008.03842425626;979.0;6.42399978637695
Togo;17.05925185964241;6.49387741;;-0.980289495517403;48.5;78.7700805749932;3.7605299949646;33.656;1.87454228815956;;1972.6971961294505;;3.49499988555908
Trinidad and Tobago;;6.99457884;35.6920942733696;1.8803844018353;36.2;41.806184934232924;3.57550001144409;12.909;0.88503952327773;0.0914900004863739;26213.924513845504;;6.16800022125244
Tunisia;10.963130357402838;6.84927845;;5.30884839565841;64.1;48.31137165745286;;18.399;2.14430210709986;0.699540019035339;10874.946886356063;172.0;4.80499982833862
Turkey;;;;;;;;;;;;;5.5
Turkmenistan;;6.93536758;;;;54.06473246264467;;24.648;;;13703.512723974109;;5.82200002670288
Uganda;23.598133799511373;4.0002389;11.5020462711168;5.20971705914217;33.7;95.81191673041303;2.25363993644714;38.343;1.09607893181569;;2128.3968687566053;25.0;4.08099985122681
Ukraine;16.863609574178685;7.43332481;6.18373057115013;14.4383227488749;37.8;46.583981617794315;5.41707992553711;9.4;2.88440151897159;0.448790013790131;11860.560546875;2283.0;4.09600019454956
United Arab Emirates;;4.05959463;;1.96682557818839;15.9;18.209356171101284;1.63756906986237;10.62;;;71182.37071450557;63.0;6.64799976348877
United Kingdom;14.742297494386102;9.80787468;1.21239436302261;2.55775577557754;30.7;56.29770300165147;5.38499021530151;11.4;1.91998040214711;1.65980994701385;46372.386603509956;13301.0;6.71400022506714
United States;19.595923654130008;16.80583572;5.31984338681299;2.13011000365963;43.8;51.79623725867389;5.10922002792358;11.8;3.3093875322337603;2.8957200050354;59914.77779697572;293904.0;6.99300003051758
Uruguay;15.915229260838206;8.82179165;8.23477548597542;6.21809382561863;41.8;55.473794966431065;4.47097015380859;12.579;1.95692291601638;0.448489993810654;23106.99819375255;23.0;6.4539999961853
Uzbekistan;32.15476776817486;5.07679939;1.84919955942116;13.8757425441635;38.3;50.062409015809365;5.03282022476196;22.1;;0.148340001702309;6840.709860017067;357.0;5.97100019454956
Venezuela;;;;;;;;;;;;;5.25
Vietnam;28.856868659085254;4.7128343600000004;;3.52025688811619;38.1;44.182809350918866;4.08553981781006;16.1;2.26796977611754;0.52674001455307;9050.688533862036;592.0;5.07399988174438
Yemen;;;;;;;;;;;;;3.59299993515015
Zambia;36.25246531941784;4.37697697;;6.57731154205652;15.6;87.05102298683153;3.72964000701904;36.601;1.30959610535596;;3395.4796855024233;12.0;4.51399993896484
Zimbabwe;-2.68241690799836;7.46975242;;0.893962316050074;31.6;83.10128580883517;5.81877994537354;32.516;0.387831394309215;;2331.780832940881;;3.875
